dateExam,h_debut,h_fin,session,type ex,semestre,enseignant,cod_salle
28/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,000,B303
28/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,000,B402
28/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,009,A329
28/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,017,A124
28/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,017,A131
28/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,017,A102
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,020,B103
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,020,B203
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,020,B402
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,035,C401
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,035,C402
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,036,A207
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,036,A406
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,038,C401
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,038,C402
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,046,A207
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,046,A406
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,048,A405
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,048,A407
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,048,A408
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,048,A012
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,048,A102
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,050,B302
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,050,B303
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,055,A012
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,056,B103
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,056,B203
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,056,B402
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,056,C201
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,056,C202
28/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,062,A329
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,067,C201
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,067,C202
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,074,A405
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,074,A407
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,074,A408
28/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,088,B302
28/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,088,B303
28/10/2025,30/12/1999 14:30:00,30/12/1999 16:00:00,P,E,SEMESTRE 1,088,B402
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,232,A206
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,232,A208
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,232,A209
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,236,B302
28/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,236,B303
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,236,A102
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,350,A206
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,350,A208
28/10/2025,30/12/1999 10:30:00,30/12/1999 12:00:00,P,E,SEMESTRE 1,350,A209
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,000,B103
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,000,B203
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,000,B402
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,013,A206
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,013,A208
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,013,A209
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,013,B302
29/10/2025,30/12/1999 08:30:00,30/12/1999 10:00:00,P,E,SEMESTRE 1,013,B303
29/10/2025,30/12/1999 12:30:00,30/12/1999 14:00:00,P,E,SEMESTRE 1,019,A124
